seg_id,surah,ayah,tafsir_id,query_index,query_text,prompt_tokens,completion_tokens,total_tokens
1255,At-Taubah,20,At-Taubah:20,5,Apa perbedaan antara kebaikan orang kafir dan amalan orang beriman berdasarkan teks ini?,548,138,686
1256,At-Taubah,21,At-Taubah:21,1,Apa yang dimaksud dengan kemenangan hakiki menurut teks ini?,521,120,641
1256,At-Taubah,21,At-Taubah:21,2,Mengapa mereka disebut memperoleh keberuntungan?,521,120,641
1256,At-Taubah,21,At-Taubah:21,3,Bagaimana cara Tuhan menggembirakan mereka?,521,120,641
1256,At-Taubah,21,At-Taubah:21,4,Apa yang dimaksud dengan rahmat yang sangat luas?,521,120,641
1256,At-Taubah,21,At-Taubah:21,5,Mengapa mereka diistimewakan dengan keridaan-Nya?,521,120,641
1256,At-Taubah,21,At-Taubah:21,6,Apa balasan yang sesungguhnya bagi mereka?,521,120,641
1256,At-Taubah,21,At-Taubah:21,7,Kapan mereka akan dimasukkan ke dalam surga?,521,120,641
1256,At-Taubah,21,At-Taubah:21,8,Apa yang mereka peroleh di dalam surga?,521,120,641
1257,At-Taubah,22,At-Taubah:22,1,Apa yang dimaksud dengan 'kekal di dalamnya' dalam konteks ini?,469,107,576
1257,At-Taubah,22,At-Taubah:22,2,Mengapa mereka tidak akan dikeluarkan dari tempat tersebut?,469,107,576
1257,At-Taubah,22,At-Taubah:22,3,Bagaimana pahala yang besar di sisi Allah digambarkan?,469,107,576
1257,At-Taubah,22,At-Taubah:22,4,Siapa yang dimaksud dengan 'mereka' dalam tafsir ini?,469,107,576
1257,At-Taubah,22,At-Taubah:22,5,Kapan seseorang bisa mendapatkan pahala yang besar itu?,469,107,576
1257,At-Taubah,22,At-Taubah:22,6,Apa konsekuensi dari kekekalan dalam tempat itu?,469,107,576
1258,At-Taubah,23,At-Taubah:23,1,Apa maksud dari 'berlepas diri dari kekuasaan kaum musyrik' dalam konteks ayat ini?,713,157,870
1258,At-Taubah,23,At-Taubah:23,2,Mengapa cinta kepada Allah dan Rasul-Nya harus lebih utama daripada cinta kepada keluarga?,713,157,870
1258,At-Taubah,23,At-Taubah:23,3,Bagaimana cara seorang muslim menghadapi keluarga yang lebih menyukai kekafiran?,713,157,870
1258,At-Taubah,23,At-Taubah:23,4,Siapa yang disebut sebagai orang zalim berdasarkan penjelasan ini?,713,157,870
1258,At-Taubah,23,At-Taubah:23,5,Apa konsekuensi jika menjadikan orang musyrik sebagai wali atau pemimpin?,713,157,870
1258,At-Taubah,23,At-Taubah:23,6,Mengapa hubungan kekerabatan tidak boleh menjadi alasan untuk menjadikan mereka wali?,713,157,870
1258,At-Taubah,23,At-Taubah:23,7,Bagaimana menyeimbangkan kewajiban kepada Allah dengan hubungan keluarga dalam Islam?,713,157,870
1259,At-Taubah,24,At-Taubah:24,1,Apa yang menyebabkan sebagian kaum muslim enggan berhijrah ke Madinah?,682,141,823
1259,At-Taubah,24,At-Taubah:24,2,Mengapa hijrah dianggap sebagai wujud kecintaan kepada Allah dan Rasul-Nya?,682,141,823
1259,At-Taubah,24,At-Taubah:24,3,Siapa yang dimaksud dengan orang-orang fasik dalam tafsir ini?,682,141,823
1259,At-Taubah,24,At-Taubah:24,4,Bagaimana sikap Allah terhadap orang-orang yang lebih mencintai dunia daripada-Nya?,682,141,823
1259,At-Taubah,24,At-Taubah:24,5,Apa konsekuensi bagi mereka yang menolak hijrah dan berjihad di jalan Allah?,682,141,823
1259,At-Taubah,24,At-Taubah:24,6,Mengapa keluarga dan harta bisa menjadi penghalang dalam menjalankan perintah Allah?,682,141,823
1260,At-Taubah,25,At-Taubah:25,1,Apa yang dimaksud dengan larangan menjadikan orang kafir sebagai waliy?,673,144,817
1260,At-Taubah,25,At-Taubah:25,2,Mengapa kekuatan duniawi tidak menjamin kemenangan bagi umat mukmin?,673,144,817
1260,At-Taubah,25,At-Taubah:25,3,Bagaimana contoh nyata dari kegagalan akibat mengandalkan kekuatan duniawi?,673,144,817
1260,At-Taubah,25,At-Taubah:25,4,Kapan peristiwa kekalahan yang disebutkan dalam tafsir terjadi?,673,144,817
1260,At-Taubah,25,At-Taubah:25,5,Siapa yang tetap setia mendampingi Rasulullah saat kaum mukminin lari?,673,144,817
1260,At-Taubah,25,At-Taubah:25,6,Apa akibat dari serangan musuh yang mendadak dan bertubi-tubi?,673,144,817
1260,At-Taubah,25,At-Taubah:25,7,Mengapa jumlah yang banyak tidak berguna dalam perang Hunain?,673,144,817
1261,At-Taubah,26,At-Taubah:26,1,Apa yang terjadi pada Perang Hunain menurut teks ini?,592,114,706
1261,At-Taubah,26,At-Taubah:26,2,Mengapa kaum muslim awalnya mengalami kekalahan dalam perang tersebut?,592,114,706
1261,At-Taubah,26,At-Taubah:26,3,Bagaimana Allah membantu kaum muslim untuk mengatasi masalah berat itu?,592,114,706
1261,At-Taubah,26,At-Taubah:26,4,Siapa yang diberikan ketenangan oleh Allah dalam peristiwa ini?,592,114,706
1261,At-Taubah,26,At-Taubah:26,5,Apa bentuk hukuman yang diberikan kepada orang-orang kafir?,592,114,706
1261,At-Taubah,26,At-Taubah:26,6,Mengapa orang-orang kafir mendapatkan balasan seperti itu?,592,114,706
1262,At-Taubah,27,At-Taubah:27,1,Apa yang dimaksud dengan tobat yang tulus?,488,96,584
1262,At-Taubah,27,At-Taubah:27,2,Mengapa Allah hanya menerima tobat orang yang Dia kehendaki?,488,96,584
1262,At-Taubah,27,At-Taubah:27,3,Bagaimana cara bertobat setelah menentang Islam?,488,96,584
1262,At-Taubah,27,At-Taubah:27,4,Siapa yang bisa mendapatkan ampunan Allah?,488,96,584
1262,At-Taubah,27,At-Taubah:27,5,Kapan tobat seseorang diterima oleh Allah?,488,96,584
1262,At-Taubah,27,At-Taubah:27,6,Apakah ada batasan bagi orang yang pernah menentang untuk bertobat?,488,96,584
1263,At-Taubah,28,At-Taubah:28,1,Mengapa kaum mukmin harus memutuskan hubungan dengan kaum musyrik?,683,128,811
1263,At-Taubah,28,At-Taubah:28,2,Apa yang dimaksud dengan najis dalam konteks orang-orang musyrik?,683,128,811
1263,At-Taubah,28,At-Taubah:28,3,Kapan larangan mendekati Masjidilharam berlaku?,683,128,811
1263,At-Taubah,28,At-Taubah:28,4,Bagaimana Allah menjamin rezeki jika orang kafir tidak datang berdagang?,683,128,811
1263,At-Taubah,28,At-Taubah:28,5,Apa yang harus dilakukan untuk mendapatkan rezeki sesuai sunatullah?,683,128,811
1263,At-Taubah,28,At-Taubah:28,6,Siapa yang dimaksud dengan orang-orang musyrik dalam tafsir ini?,683,128,811
1264,At-Taubah,29,At-Taubah:29,1,Apa konteks turunnya ayat ini?,716,113,829
1264,At-Taubah,29,At-Taubah:29,2,Mengapa kaum Ahli Kitab diperintahkan untuk diperangi?,716,113,829
1264,At-Taubah,29,At-Taubah:29,3,Bagaimana cara menghentikan peperangan dengan mereka?,716,113,829
1264,At-Taubah,29,At-Taubah:29,4,Siapa yang dimaksud dengan orang-orang yang tidak beriman dalam ayat ini?,716,113,829
1264,At-Taubah,29,At-Taubah:29,5,Kapan peristiwa yang melatarbelakangi ayat ini terjadi?,716,113,829
1264,At-Taubah,29,At-Taubah:29,6,Apa yang dimaksud dengan jizyah dalam konteks ini?,716,113,829
1265,At-Taubah,30,At-Taubah:30,1,Apa yang dikatakan orang Yahudi dan Nasrani tentang Allah menurut tafsir ini?,619,121,740
1265,At-Taubah,30,At-Taubah:30,2,Mengapa ucapan mereka dianggap sesat?,619,121,740
1265,At-Taubah,30,At-Taubah:30,3,Bagaimana mereka meniru ucapan orang kafir terdahulu?,619,121,740
1265,At-Taubah,30,At-Taubah:30,4,Apa akibat dari keyakinan sesat mereka?,619,121,740
1265,At-Taubah,30,At-Taubah:30,5,Mengapa Allah melaknat mereka?,619,121,740
1265,At-Taubah,30,At-Taubah:30,6,Bagaimana mungkin mereka berpaling dari agama tauhid?,619,121,740
1265,At-Taubah,30,At-Taubah:30,7,Apa peran para rasul dalam menjelaskan keesaan Allah?,619,121,740
1266,At-Taubah,31,At-Taubah:31,1,Apa yang dimaksud dengan menjadikan orang alim dan rahib sebagai tuhan selain Allah?,589,145,734
1266,At-Taubah,31,At-Taubah:31,2,Mengapa kaum Yahudi dan Nasrani dianggap sesat dalam teks ini?,589,145,734
1266,At-Taubah,31,At-Taubah:31,3,Bagaimana cara kaum Yahudi dan Nasrani menyembah tuhan selain Allah?,589,145,734
1266,At-Taubah,31,At-Taubah:31,4,Siapa yang dijadikan tuhan oleh kaum Nasrani menurut teks ini?,589,145,734
1266,At-Taubah,31,At-Taubah:31,5,Apa contoh perbuatan maksiat yang disebutkan dalam teks?,589,145,734
1266,At-Taubah,31,At-Taubah:31,6,Mengapa hanya Allah yang berhak disembah menurut teks ini?,589,145,734
1266,At-Taubah,31,At-Taubah:31,7,Apa yang dimaksud dengan menghalalkan yang haram dan mengharamkan yang halal?,589,145,734
1267,At-Taubah,32,At-Taubah:32,1,Apa yang dimaksud dengan 'cahaya Allah' dalam teks ini?,561,127,688
1267,At-Taubah,32,At-Taubah:32,2,Mengapa orang-orang kafir berusaha memadamkan cahaya Allah?,561,127,688
1267,At-Taubah,32,At-Taubah:32,3,Bagaimana cara orang-orang kafir berusaha memadamkan cahaya Allah?,561,127,688
1267,At-Taubah,32,At-Taubah:32,4,Apa yang Allah lakukan terhadap usaha mereka?,561,127,688
1267,At-Taubah,32,At-Taubah:32,5,Mengapa Allah ingin menyempurnakan cahaya-Nya?,561,127,688
1267,At-Taubah,32,At-Taubah:32,6,Bagaimana Allah menyempurnakan cahaya-Nya?,561,127,688
1267,At-Taubah,32,At-Taubah:32,7,Apa dampak dari penyempurnaan cahaya Allah terhadap orang-orang kafir?,561,127,688
1268,At-Taubah,33,At-Taubah:33,1,Apa yang dimaksud dengan agama yang benar dalam tafsir ini?,561,148,709
1268,At-Taubah,33,At-Taubah:33,2,Mengapa Allah mengutus Rasul-Nya dengan membawa petunjuk?,561,148,709
1268,At-Taubah,33,At-Taubah:33,3,Bagaimana Al-Qur'an berisi bukti-bukti nyata tentang keesaan Allah?,561,148,709
1268,At-Taubah,33,At-Taubah:33,4,Siapa yang tidak menyukai kenyataan bahwa Islam diunggulkan atas agama lain?,561,148,709
1268,At-Taubah,33,At-Taubah:33,5,Apa manfaat dari sikap keberagamaan yang lurus menurut tafsir ini?,561,148,709
1268,At-Taubah,33,At-Taubah:33,6,Mengapa agama Islam diunggulkan atas agama-agama yang lebih dulu ada?,561,148,709
1268,At-Taubah,33,At-Taubah:33,7,Bagaimana petunjuk dalam Al-Qur'an bisa membawa manfaat di dunia dan akhirat?,561,148,709
1269,At-Taubah,34,At-Taubah:34,1,Apa saja perilaku buruk yang dilakukan oleh sebagian pemimpin Ahli Kitab menurut ayat ini?,767,147,914
1269,At-Taubah,34,At-Taubah:34,2,Mengapa kerusakan akhlak dan akidah seorang pemimpin agama dianggap sangat berbahaya?,767,147,914
1269,At-Taubah,34,At-Taubah:34,3,Bagaimana cara mereka menghalangi manusia dari mengikuti jalan Allah?,767,147,914
1269,At-Taubah,34,At-Taubah:34,4,Siapa yang dimaksud dengan 'orang-orang alim Yahudi dan rahib-rahib Nasrani' dalam konteks ini?,767,147,914
1269,At-Taubah,34,At-Taubah:34,5,Apa akibat bagi mereka yang menumpuk harta dan tidak menginfakkannya di jalan Allah?,767,147,914
1269,At-Taubah,34,At-Taubah:34,6,Mengapa kabar gembira disebut sebagai bentuk ejekan dan celaan dalam ayat ini?,767,147,914
1270,At-Taubah,35,At-Taubah:35,1,Apa azab yang diancamkan kepada orang kaya yang kikir menurut ayat ini?,633,151,784
1270,At-Taubah,35,At-Taubah:35,2,Mengapa Islam membolehkan umatnya mengumpulkan harta banyak?,633,151,784
1270,At-Taubah,35,At-Taubah:35,3,Bagaimana harta emas dan perak digunakan dalam azab di neraka Jahanam?,633,151,784
1270,At-Taubah,35,At-Taubah:35,4,Siapa saja yang termasuk dalam ancaman azab ini?,633,151,784
1270,At-Taubah,35,At-Taubah:35,5,Kapan azab tersebut akan terjadi?,633,151,784
1270,At-Taubah,35,At-Taubah:35,6,Apa konsekuensi dari menyimpan harta tanpa menunaikan zakat atau membantu orang lain?,633,151,784
1270,At-Taubah,35,At-Taubah:35,7,Bagaimana sikap yang seharusnya dimiliki oleh orang yang dikaruniai harta banyak?,633,151,784
1271,At-Taubah,36,At-Taubah:36,1,Apa saja bulan haram yang disebutkan dalam ayat?,781,119,900
1271,At-Taubah,36,At-Taubah:36,2,Mengapa ada empat bulan yang dimuliakan?,781,119,900
1271,At-Taubah,36,At-Taubah:36,3,Bagaimana sistem dua belas bulan menurut ketetapan Allah?,781,119,900
1271,At-Taubah,36,At-Taubah:36,4,Mengapa larangan berperang di bulan haram kemudian dihapus?,781,119,900
1271,At-Taubah,36,At-Taubah:36,5,Apa maksud 'jangan menzalimi dirimu' dalam konteks ini?,781,119,900
1271,At-Taubah,36,At-Taubah:36,6,Bagaimana dosa di bulan haram diperlakukan?,781,119,900
1271,At-Taubah,36,At-Taubah:36,7,Siapa yang dimaksud dengan orang-orang yang takwa di akhir ayat?,781,119,900
1272,At-Taubah,37,At-Taubah:37,1,Apa yang dimaksud dengan pengunduran bulan haram?,716,110,826
1272,At-Taubah,37,At-Taubah:37,2,Mengapa orang Arab mengundur-undurkan bulan haram?,716,110,826
1272,At-Taubah,37,At-Taubah:37,3,Bagaimana setan menyesatkan orang kafir terkait bulan haram?,716,110,826
1272,At-Taubah,37,At-Taubah:37,4,Apa akibat dari menghalalkan apa yang diharamkan Allah?,716,110,826
1272,At-Taubah,37,At-Taubah:37,5,Mengapa Allah tidak memberi petunjuk kepada orang kafir?,716,110,826
1272,At-Taubah,37,At-Taubah:37,6,Apa perbuatan buruk yang dianggap indah oleh setan?,716,110,826
1273,At-Taubah,38,At-Taubah:38,1,Apa yang terjadi pada Perang Tabuk?,635,120,755
1273,At-Taubah,38,At-Taubah:38,2,Mengapa umat Islam merasa berat untuk berperang saat itu?,635,120,755
1273,At-Taubah,38,At-Taubah:38,3,Bagaimana perbandingan kenikmatan dunia dan akhirat menurut tafsir ini?,635,120,755
1273,At-Taubah,38,At-Taubah:38,4,Siapa yang diperintahkan untuk berperang dalam ayat ini?,635,120,755
1273,At-Taubah,38,At-Taubah:38,5,Kapan Perang Tabuk terjadi?,635,120,755
1273,At-Taubah,38,At-Taubah:38,6,Apa alasan umat Islam lebih memilih tinggal di rumah saat perintah perang?,635,120,755
1273,At-Taubah,38,At-Taubah:38,7,Mengapa kehidupan akhirat dianggap lebih penting daripada dunia?,635,120,755
1274,At-Taubah,39,At-Taubah:39,1,Apa ancaman bagi orang yang enggan berperang tanpa halangan?,606,123,729
1274,At-Taubah,39,At-Taubah:39,2,Mengapa Allah mengganti kaum yang tidak taat dengan kaum lain?,606,123,729
1274,At-Taubah,39,At-Taubah:39,3,Bagaimana hukuman di dunia dan akhirat dijelaskan dalam teks ini?,606,123,729
1274,At-Taubah,39,At-Taubah:39,4,Apakah ketidaktaatan manusia merugikan Allah?,606,123,729
1274,At-Taubah,39,At-Taubah:39,5,Siapa yang dimaksud dengan kaum yang lebih baik dalam teks ini?,606,123,729
1274,At-Taubah,39,At-Taubah:39,6,Mengapa kenikmatan duniawi bisa menghalangi seseorang untuk berperang?,606,123,729
1275,At-Taubah,40,At-Taubah:40,1,Apa maksud dari pernyataan bahwa Allah dan Rasulullah tidak membutuhkan pertolongan manusia?,767,163,930
1275,At-Taubah,40,At-Taubah:40,2,Mengapa Nabi Muhammad merasa tenang meskipun berada dalam situasi berbahaya di gua?,767,163,930
1275,At-Taubah,40,At-Taubah:40,3,Bagaimana Allah menolong Nabi Muhammad saat dikejar orang-orang kafir di Mekah?,767,163,930
1275,At-Taubah,40,At-Taubah:40,4,Siapa sahabat yang menemani Nabi Muhammad dalam gua saat dikejar musuh?,767,163,930
1275,At-Taubah,40,At-Taubah:40,5,Mengapa kalimat Allah dikatakan lebih tinggi daripada seruan orang-orang kafir?,767,163,930
1275,At-Taubah,40,At-Taubah:40,6,Apa yang dilakukan Allah untuk menguatkan jiwa Nabi Muhammad dalam menghadapi kesulitan?,767,163,930
1275,At-Taubah,40,At-Taubah:40,7,Bagaimana sikap yang seharusnya dimiliki seorang Muslim dalam menolong agama Allah?,767,163,930
1276,At-Taubah,41,At-Taubah:41,1,Apa tujuan utama berperang menurut ayat ini?,603,109,712
1276,At-Taubah,41,At-Taubah:41,2,Mengapa Allah memerintahkan berperang meski dengan kondisi berat?,603,109,712
1276,At-Taubah,41,At-Taubah:41,3,Bagaimana cara berjihad di jalan Allah?,603,109,712
1276,At-Taubah,41,At-Taubah:41,4,Siapa yang akan ditolong Allah dalam perang?,603,109,712
1276,At-Taubah,41,At-Taubah:41,5,Kapan seseorang harus berangkat ke medan perang?,603,109,712
1276,At-Taubah,41,At-Taubah:41,6,Apa manfaat berjihad dengan harta dan jiwa?,603,109,712
1276,At-Taubah,41,At-Taubah:41,7,Mengapa berperang dianggap lebih baik bagi umat Islam?,603,109,712
1277,At-Taubah,42,At-Taubah:42,1,Apa yang menyebabkan kaum munafik enggan berangkat ke Perang Tabuk?,712,144,856
1277,At-Taubah,42,At-Taubah:42,2,Mengapa kaum munafik bersedia mengikuti perintah jika ada keuntungan duniawi?,712,144,856
1277,At-Taubah,42,At-Taubah:42,3,Bagaimana sikap kaum munafik ketika harus berangkat ke tempat yang jauh?,712,144,856
1277,At-Taubah,42,At-Taubah:42,4,Mengapa mereka bersumpah atas nama Allah padahal berbohong?,712,144,856
1277,At-Taubah,42,At-Taubah:42,5,Apa dampak dari sumpah palsu yang mereka ucapkan?,712,144,856
1277,At-Taubah,42,At-Taubah:42,6,Siapa yang mengetahui kebohongan kaum munafik meskipun mereka tutup-tutupi?,712,144,856
1277,At-Taubah,42,At-Taubah:42,7,Apa salah satu karakter orang munafik berdasarkan tafsir ini?,712,144,856
1278,At-Taubah,43,At-Taubah:43,1,Siapa yang dimaksud dengan orang-orang munafik dalam konteks ini?,566,138,704
1278,At-Taubah,43,At-Taubah:43,2,Mengapa Nabi memberikan izin kepada mereka untuk tidak berperang?,566,138,704
1278,At-Taubah,43,At-Taubah:43,3,Bagaimana Allah menegur Nabi terkait pemberian izin tersebut?,566,138,704
1278,At-Taubah,43,At-Taubah:43,4,Apa perbedaan antara orang yang benar-benar berhalangan dan yang berdusta?,566,138,704
1278,At-Taubah,43,At-Taubah:43,5,Kapan seharusnya izin diberikan menurut teguran dalam ayat ini?,566,138,704
1278,At-Taubah,43,At-Taubah:43,6,Apa dampak dari tindakan orang munafik yang membuat alasan palsu?,566,138,704
1278,At-Taubah,43,At-Taubah:43,7,Bagaimana cara membedakan alasan yang jujur dan yang dibuat-buat?,566,138,704
1279,At-Taubah,44,At-Taubah:44,1,Apa ciri-ciri orang yang beriman kepada Allah dan hari akhir?,604,138,742
1279,At-Taubah,44,At-Taubah:44,2,Mengapa orang beriman tidak meminta izin untuk tidak ikut berjihad?,604,138,742
1279,At-Taubah,44,At-Taubah:44,3,Bagaimana sikap orang beriman terhadap perintah Allah dan Rasul-Nya?,604,138,742
1279,At-Taubah,44,At-Taubah:44,4,Apa manfaat jihad menurut tafsir ini?,604,138,742
1279,At-Taubah,44,At-Taubah:44,5,Siapa yang termasuk orang bertakwa berdasarkan penjelasan tersebut?,604,138,742
1279,At-Taubah,44,At-Taubah:44,6,Bagaimana Allah membalas orang-orang yang bertakwa?,604,138,742
1279,At-Taubah,44,At-Taubah:44,7,Apa hubungan antara ketakwaan dengan kesiapan berjihad?,604,138,742
1280,At-Taubah,45,At-Taubah:45,1,Siapa yang dimaksud dengan orang-orang munafik dalam tafsir ini?,568,160,728
1280,At-Taubah,45,At-Taubah:45,2,Mengapa orang munafik hanya meminta izin untuk berperang saat ada keuntungan duniawi?,568,160,728
1280,At-Taubah,45,At-Taubah:45,3,Bagaimana ciri-ciri orang munafik berdasarkan penjelasan tafsir tersebut?,568,160,728
1280,At-Taubah,45,At-Taubah:45,4,Apa yang menyebabkan hati orang munafik ragu terhadap balasan Allah di akhirat?,568,160,728
1280,At-Taubah,45,At-Taubah:45,5,Kapan orang munafik biasanya ikut berperang dan kapan tidak?,568,160,728
1280,At-Taubah,45,At-Taubah:45,6,Mengapa orang munafik tidak terdorong untuk meraih kebahagiaan akhirat?,568,160,728
1280,At-Taubah,45,At-Taubah:45,7,Apa hubungan antara keraguan hati dan kebimbangan dalam berperang menurut tafsir ini?,568,160,728
1281,At-Taubah,46,At-Taubah:46,1,Apa ciri-ciri orang munafik yang disebutkan dalam ayat ini?,667,131,798
1281,At-Taubah,46,At-Taubah:46,2,Mengapa orang munafik tidak ingin berangkat berperang?,667,131,798
1281,At-Taubah,46,At-Taubah:46,3,Bagaimana dampak jika orang munafik ikut berperang?,667,131,798
1281,At-Taubah,46,At-Taubah:46,4,Siapa yang dimaksud dengan 'orang-orang yang tinggal' dalam tafsir ini?,667,131,798
1281,At-Taubah,46,At-Taubah:46,5,Mengapa Allah tidak menyukai keberangkatan orang munafik untuk berperang?,667,131,798
1281,At-Taubah,46,At-Taubah:46,6,Apa yang terjadi pada niat orang munafik sehingga mereka tidak berangkat?,667,131,798
1282,At-Taubah,47,At-Taubah:47,1,Apa akibat jika orang-orang munafik ikut berperang bersama kaum muslimin?,592,121,713
1282,At-Taubah,47,At-Taubah:47,2,Mengapa keberadaan mereka bisa melemahkan mental kaum muslimin?,592,121,713
1282,At-Taubah,47,At-Taubah:47,3,Bagaimana cara mereka menciptakan kekacauan di antara kaum muslimin?,592,121,713
1282,At-Taubah,47,At-Taubah:47,4,Siapa yang dimaksud dengan orang-orang yang suka mendengarkan perkataan mereka?,592,121,713
1282,At-Taubah,47,At-Taubah:47,5,Mengapa ada kaum muslimin yang masih mendengarkan perkataan orang-orang zalim?,592,121,713
1282,At-Taubah,47,At-Taubah:47,6,Apa yang Allah ketahui tentang orang-orang zalim tersebut?,592,121,713
1283,At-Taubah,48,At-Taubah:48,1,Siapa yang dimaksud dengan kaum munafik dalam tafsir ini?,534,125,659
1283,At-Taubah,48,At-Taubah:48,2,Apa saja usaha kaum munafik untuk melemahkan kaum muslimin?,534,125,659
1283,At-Taubah,48,At-Taubah:48,3,Mengapa kaum munafik berusaha memadamkan api Islam?,534,125,659
1283,At-Taubah,48,At-Taubah:48,4,Bagaimana akhir dari usaha kaum munafik tersebut?,534,125,659
